cell_id,count_m4,count_m5,max_mag,mean_mag,std_mag,mean_depth,shallow_ratio,predicted_risk
12.0_95.0,1,0,4.9,4.9,0.0,10.0,1.0,Low
15.0_96.0,1,0,4.7,4.7,0.0,10.0,1.0,Low
16.0_96.0,1,0,4.5,4.5,0.0,9.447,1.0,Low
16.0_96.5,1,0,4.6,4.6,0.0,10.0,1.0,Low
19.0_96.0,1,0,4.9,4.9,0.0,10.0,1.0,Low
20.5_93.5,1,0,4.6,4.6,0.0,57.003,1.0,Low
23.0_94.0,2,1,5.3,4.699999999999999,0.8485281374238575,41.46,0.5,Moderate
23.5_94.5,1,0,4.4,4.4,0.0,123.232,0.0,Low
26.5_91.5,1,0,4.4,4.4,0.0,10.0,1.0,Low
26.5_92.0,1,1,5.5,5.5,0.0,29.0,1.0,Moderate
27.0_86.5,1,0,4.1,4.1,0.0,10.0,1.0,Low
29.0_86.5,1,1,5.0,5.0,0.0,10.0,1.0,Moderate
30.0_84.0,1,0,4.6,4.6,0.0,10.0,1.0,Low
32.5_88.0,1,0,4.3,4.3,0.0,10.0,1.0,Low
33.0_75.5,1,0,4.2,4.2,0.0,70.864,0.0,Low
33.0_88.0,1,1,5.0,5.0,0.0,10.0,1.0,Moderate
33.5_87.5,1,1,5.1,5.1,0.0,10.0,1.0,Moderate
34.0_70.5,5,0,4.7,4.42,0.19235384061671348,10.0,1.0,Low
34.5_70.5,15,7,6.0,4.946666666666667,0.4983783225431784,9.864733333333334,1.0,High
36.0_70.0,1,0,4.3,4.3,0.0,204.705,0.0,Low
36.0_71.0,3,1,5.1,4.533333333333333,0.5131601439446882,127.34100000000001,0.0,Moderate
36.5_71.0,1,0,4.2,4.2,0.0,198.006,0.0,Low
36.5_75.0,1,0,4.5,4.5,0.0,10.0,1.0,Low
37.0_75.0,1,0,4.7,4.7,0.0,10.0,1.0,Low
