SID,SEASON,BASIN,SUBBASIN,NAME,ISO_TIME,LAT,LON,WMO_WIND,WMO_PRES,DIST2LAND,LANDFALL,YEAR
2000088N08090,2000,NI,BB,NOT_NAMED,2000-03-27 12:00:00,7.50000,90.0000,25,1004,613,613,2000.0
2000088N08090,2000,NI,BB,NOT_NAMED,2000-03-27 15:00:00,8.00035,89.3643, , ,695,695,2000.0
2000088N08090,2000,NI,BB,NOT_NAMED,2000-03-27 18:00:00,8.50000,89.0000,25,1006,757,757,2000.0
2000088N08090,2000,NI,BB,NOT_NAMED,2000-03-27 21:00:00,8.99983,89.0335, , ,783,779,2000.0
2000088N08090,2000,NI,BB,NOT_NAMED,2000-03-28 00:00:00,9.50000,89.0000,25,1004,811,784,2000.0
2000088N08090,2000,NI,BB,NOT_NAMED,2000-03-28 03:00:00,10.0000,88.5000,25,1006,784,774,2000.0
2000088N08090,2000,NI,BB,NOT_NAMED,2000-03-28 06:00:00,10.7134,88.1877, , ,784,783,2000.0
2000088N08090,2000,NI,BB,NOT_NAMED,2000-03-28 09:00:00,11.4693,88.0445, , ,802,801,2000.0
2000088N08090,2000,NI,BB,NOT_NAMED,2000-03-28 12:00:00,12.0000,88.0000,25,1004,801,794,2000.0
2000088N08090,2000,NI,BB,NOT_NAMED,2000-03-28 15:00:00,12.0394,87.9801, , ,801,801,2000.0
2000088N08090,2000,NI,BB,NOT_NAMED,2000-03-28 18:00:00,12.0000,88.0000,25,1004,801,794,2000.0
2000088N08090,2000,NI,BB,NOT_NAMED,2000-03-28 21:00:00,12.1648,88.0000, , ,787,766,2000.0
2000088N08090,2000,NI,BB,NOT_NAMED,2000-03-29 00:00:00,12.5000,88.0000,25,1004,766,725,2000.0
2000088N08090,2000,NI,BB,NOT_NAMED,2000-03-29 03:00:00,13.0000,88.0000,30,1002,725,680,2000.0
2000088N08090,2000,NI,BB,NOT_NAMED,2000-03-29 06:00:00,13.5000,88.0000,30,1002,680,669,2000.0
2000088N08090,2000,NI,BB,NOT_NAMED,2000-03-29 09:00:00,13.7499,88.1565, , ,676,652,2000.0
2000088N08090,2000,NI,BB,NOT_NAMED,2000-03-29 12:00:00,14.0000,88.5000,35,998,652,582,2000.0
2000088N08090,2000,NI,BB,NOT_NAMED,2000-03-29 15:00:00,14.5000,89.0000,35,1000,582,516,2000.0
2000088N08090,2000,NI,BB,NOT_NAMED,2000-03-29 18:00:00,15.0000,89.5000,35,1000,516,516,2000.0
2000088N08090,2000,NI,BB,NOT_NAMED,2000-03-29 21:00:00,15.0000,89.5000,45,1000,516,516,2000.0
2000088N08090,2000,NI,BB,NOT_NAMED,2000-03-30 00:00:00,15.0000,89.5000,45,998,516,453,2000.0
2000088N08090,2000,NI,BB,NOT_NAMED,2000-03-30 03:00:00,15.5000,90.0000,45,998,453,451,2000.0
2000088N08090,2000,NI,BB,NOT_NAMED,2000-03-30 06:00:00,15.5000,90.0000,35,1000,453,453,2000.0
2000088N08090,2000,NI,BB,NOT_NAMED,2000-03-30 09:00:00,15.0000,90.0000,30,1000,463,395,2000.0
2000088N08090,2000,NI,BB,NOT_NAMED,2000-03-30 12:00:00,16.0000,90.5000,25,1002,395, ,2000.0
2000236N17084,2000,NI,BB,NOT_NAMED,2000-08-23 03:00:00,16.5000,83.5000,25,994,121,72,2000.0
