time,place,magnitude,depth_km,latitude,longitude,lat_bin,lon_bin,cell_id
2000-12-30 22:51:44.470,"50 km SW of Ashk?sham, Afghanistan",4.6,123.4,36.374,71.126,36.0,71.0,36.0_71.0
2000-12-30 00:42:51.430,"14 km NNE of Farkhor, Tajikistan",3.7,33.0,37.614,69.461,37.5,69.0,37.5_69.0
2000-12-29 17:56:45.120,"60 km S of Duki, Pakistan",3.9,33.0,29.613,68.659,29.5,68.5,29.5_68.5
2000-12-29 12:35:45.410,"9 km WNW of Chubek, Tajikistan",4.3,62.8,37.653,69.612,37.5,69.5,37.5_69.5
2000-12-28 10:30:58.810,"71 km SW of Qamdo, China",4.0,33.0,30.666,96.667,30.5,96.5,30.5_96.5
2000-12-27 16:44:40.480,"24 km WSW of Ashk?sham, Afghanistan",4.0,223.9,36.562,71.299,36.5,71.0,36.5_71.0
2000-12-27 05:22:36.870,"71 km NNW of P?r?n, Afghanistan",4.2,91.0,35.984,70.535,35.5,70.5,35.5_70.5
2000-12-26 05:37:34.680,"12 km WSW of Kyelang, India",3.9,33.0,32.538,76.894,32.5,76.5,32.5_76.5
2000-12-24 11:21:58.260,"57 km SSE of Diplo, Pakistan",4.6,10.0,23.971,69.763,23.5,69.5,23.5_69.5
2000-12-22 17:54:18.400,"46 km S of Mawlaik, Myanmar",3.7,121.6,23.224,94.429,23.0,94.0,23.0_94.0
2000-12-22 17:52:07.610,"48 km S of Ashk?sham, Afghanistan",4.2,148.5,36.255,71.629,36.0,71.5,36.0_71.5
2000-12-20 15:49:51.870,"34 km WSW of Ashk?sham, Afghanistan",3.6,177.2,36.534,71.192,36.5,71.0,36.5_71.0
2000-12-20 13:22:23.400,"17 km E of Jurm, Afghanistan",5.0,84.5,36.84,71.024,36.5,71.0,36.5_71.0
2000-12-19 11:52:59.080,"14 km SSE of Chubek, Tajikistan",4.1,33.0,37.496,69.775,37.0,69.5,37.0_69.5
2000-12-18 08:48:16.010,"49 km S of Ashk?sham, Afghanistan",4.0,33.0,36.237,71.472,36.0,71.0,36.0_71.0
2000-12-15 15:23:37.210,"23 km SSE of Rust?q, Afghanistan",4.6,38.6,36.921,69.884,36.5,69.5,36.5_69.5
2000-12-15 00:21:14.870,"25 km W of Ashk?sham, Afghanistan",3.7,272.2,36.681,71.251,36.5,71.0,36.5_71.0
2000-12-14 09:00:38.050,"31 km SE of Mawlaik, Myanmar",3.9,75.5,23.424,94.595,23.0,94.5,23.0_94.5
2000-12-14 08:54:22.900,"114 km NE of Nagqu, China",4.1,33.0,32.26,92.843,32.0,92.5,32.0_92.5
2000-12-12 07:53:43.820,"28 km NE of Rust?q, Afghanistan",3.9,33.0,37.284,70.085,37.0,70.0,37.0_70.0
2000-12-12 06:52:35.670,"38 km SE of Chubek, Tajikistan",4.6,33.0,37.421,70.063,37.0,70.0,37.0_70.0
2000-12-12 06:49:26.450,"37 km ENE of Rust?q, Afghanistan",4.7,33.0,37.288,70.196,37.0,70.0,37.0_70.0
2000-12-11 04:15:26.220,"61 km E of Khand?d, Afghanistan",4.0,74.8,36.997,73.011,36.5,73.0,36.5_73.0
2000-12-10 16:23:57.100,"21 km SSW of Ashk?sham, Afghanistan",3.9,125.0,36.499,71.444,36.0,71.0,36.0_71.0
2000-12-10 14:41:10.400,"33 km E of Khorugh, Tajikistan",4.1,132.3,37.47,71.932,37.0,71.5,37.0_71.5
2000-12-10 12:16:42.430,"18 km SSW of Yang? Qal‘ah, Afghanistan",3.9,33.0,37.313,69.542,37.0,69.5,37.0_69.5
2000-12-08 13:23:07.490,"20 km NNW of L?nja, India",4.2,33.0,17.041,73.508,17.0,73.5,17.0_73.5
2000-12-07 12:13:54.670,"8 km WNW of Ashk?sham, Afghanistan",4.2,186.5,36.711,71.441,36.5,71.0,36.5_71.0
2000-12-05 14:21:23.960,"47 km ESE of M?’minobod, Tajikistan",3.6,100.0,37.945,70.538,37.5,70.5,37.5_70.5
2000-12-05 09:53:51.180,"48 km NE of Mawlaik, Myanmar",4.8,33.0,24.004,94.681,24.0,94.5,24.0_94.5
